Month,Period,Income,ExpenseNeed,Spend%,Save%,Invest%,SpendAmt,SaveAmt,InvestAmt,Wealth
1,1,5000.0,1393.8949441879968,0.4,0.3,0.3,1393.8949441879968,1081.8315597317232,1081.8315597317232,2163.6631194634465
1,2,5000.0,1429.979118257665,0.55,0.25,0.2,1429.979118257665,892.5052204355837,714.0041869879583,3770.1725268869886
2,1,5000.0,1354.2275778302437,0.5,0.3,0.2,1354.2275778302437,1093.731770111921,729.1544952991998,5593.058792298109
2,2,5000.0,1628.1670904549574,0.5,0.3,0.2,1628.1670904549574,1011.5499130588934,674.3665919578536,7278.975297314857
3,1,5000.0,1460.6417315689898,0.55,0.25,0.2,1460.6417315689898,884.8395671077526,707.8716642343117,8871.686528656921
3,2,5000.0,1461.628795587972,0.4,0.3,0.3,1461.628795587972,1061.5114035042802,1061.5114035042802,10994.70933566548
4,1,5000.0,1496.2861402200942,0.45,0.35,0.2,1496.2861402200942,1226.299830039205,700.7427823978621,12921.751948102548
4,2,5000.0,1411.0105095946292,0.5,0.2,0.3,1411.0105095946292,717.7979087770964,1076.6968899057,14716.246746785344
5,1,5000.0,1516.1080839907513,0.45,0.35,0.2,1516.1080839907513,1219.362149837623,696.7783935846568,16632.387290207625
5,2,5000.0,1648.612936991476,0.45,0.35,0.2,1648.612936991476,1172.9854520771598,670.2774225896165,18475.6501648744
6,1,5000.0,1448.832762468624,0.55,0.25,0.2,1448.832762468624,887.791809382844,710.2334580895783,20073.675432346823
6,2,5000.0,1582.6346341410485,0.5,0.2,0.3,1582.6346341410485,683.4730833563327,1025.2096504958552,21782.35816619901
7,1,5000.0,1605.6328874779144,0.4,0.3,0.3,1605.6328874779144,1018.3101742206348,1018.3101742206348,23818.97851464028
7,2,5000.0,1578.2254277557497,0.5,0.2,0.3,1578.2254277557497,684.354924646533,1026.5324124640067,25529.86585175082
8,1,5000.0,1610.5205633044402,0.45,0.35,0.2,1610.5205633044402,1186.3177826405743,677.8958974405479,27394.079531831943
8,2,5000.0,1443.7679465754427,0.6,0.2,0.2,1443.7679465754427,711.2464212833089,711.2464212833089,28816.57237439856
9,1,5000.0,1607.715698522709,0.6,0.2,0.2,1607.715698522709,678.4568704052532,678.4568704052532,30173.486115209067
9,2,5000.0,1394.1792219499353,0.45,0.35,0.2,1394.1792219499353,1262.037250825156,721.1641663561962,32156.68753239042
10,1,5000.0,1606.7700537968424,0.55,0.25,0.2,1606.7700537968424,848.3074865507895,678.6459993532449,33683.64101829445
10,2,5000.0,1639.669943396315,0.55,0.25,0.2,1639.669943396315,840.0825141509213,672.066021335301,35195.789553780676
11,1,5000.0,1604.1536360163961,0.45,0.35,0.2,1604.1536360163961,1188.5462071534396,679.1692829171316,37063.50504385125
11,2,5000.0,1455.8256815269428,0.4,0.3,0.3,1455.8256815269428,1063.2523377917673,1063.2523377917673,39190.00971943478
12,1,5000.0,1482.9283123751416,0.6,0.2,0.2,1482.9283123751416,703.4143480066621,703.4143480066621,40596.83841544811
12,2,5000.0,1633.4722368918092,0.6,0.2,0.2,1633.4722368918092,673.3055626546727,673.3055626546727,41943.44954075746
13,1,5000.0,1493.9602554422934,0.45,0.35,0.2,1493.9602554422934,1227.113889697572,701.2079593603539,43871.77138981538
13,2,5000.0,1633.2242331797074,0.55,0.25,0.2,1633.2242331797074,841.6939417050731,673.3551633978321,45386.820494918284
14,1,5000.0,1536.564358063286,0.55,0.25,0.2,1536.564358063286,865.8589104841785,692.6871387091853,46945.36654411165
14,2,5000.0,1476.5761958563712,0.6,0.2,0.2,1476.5761958563712,704.684771329347,704.684771329347,48354.73608677034
15,1,5000.0,1495.767376904562,0.6,0.2,0.2,1495.767376904562,700.8465350625146,700.8465350625146,49756.42915689537
15,2,5000.0,1632.771668081097,0.5,0.3,0.2,1632.771668081097,1010.1685397161606,673.445676418903,51440.043373030436
16,1,5000.0,1518.4297212468928,0.5,0.3,0.2,1518.4297212468928,1044.471125129484,696.3140661265095,53180.82856428643
16,2,5000.0,1438.4972357748627,0.45,0.35,0.2,1438.4972357748627,1246.5259462505874,712.3005634591327,55139.655073996146
17,1,5000.0,1643.9604823399486,0.55,0.25,0.2,1643.9604823399486,839.0098794150128,671.2079135337874,56649.87286694495
17,2,5000.0,1438.5563636700983,0.55,0.25,0.2,1438.5563636700983,890.3609090824755,712.2887378799095,58252.52251390733
18,1,5000.0,1592.1267344658377,0.55,0.25,0.2,1592.1267344658377,851.9683163835406,681.5746632630862,59786.06549355396
18,2,5000.0,1598.238314103,0.4,0.3,0.3,1598.238314103,1020.5285463212593,1020.5285463212593,61827.12258619648
19,1,5000.0,1446.3350705565208,0.55,0.25,0.2,1446.3350705565208,888.4162323608698,710.7329964794426,63426.27181503679
19,2,5000.0,1419.8707003626644,0.45,0.35,0.2,1419.8707003626644,1253.045233533834,716.0258705970839,65395.342919167706
20,1,5000.0,1437.5053854766784,0.5,0.2,0.3,1437.5053854766784,712.4989335217256,1068.7484268252417,67176.59027951467
20,2,5000.0,1468.8646957718997,0.5,0.2,0.3,1468.8646957718997,706.2270713692234,1059.3406333628432,68942.15798424673
21,1,5000.0,1568.2229238762877,0.5,0.3,0.2,1568.2229238762877,1029.5331637470845,686.3554254522352,70658.04657344604
21,2,5000.0,1532.8247702741623,0.45,0.35,0.2,1532.8247702741623,1213.5113097380683,693.4350562781549,72564.99293946227
22,1,5000.0,1627.0474681448568,0.5,0.3,0.2,1627.0474681448568,1011.8857997652705,674.5905164232105,74251.46925565075
22,2,5000.0,1350.586069035481,0.6,0.2,0.2,1350.586069035481,729.8827970690048,729.8827970690048,75711.23484978876
23,1,5000.0,1511.4349443517062,0.45,0.35,0.2,1511.4349443517062,1220.9977486834348,697.7130215263928,77629.94561999859
23,2,5000.0,1387.1905087340006,0.5,0.2,0.3,1387.1905087340006,722.5619090202113,1083.842890447845,79436.35041946665
24,1,5000.0,1636.2274027612518,0.55,0.25,0.2,1636.2274027612518,840.943149309687,672.7545294725732,80950.04809824891
24,2,5000.0,1373.6110986429153,0.45,0.35,0.2,1373.6110986429153,1269.2360938600175,725.2777910788981,82944.56198318783
25,1,5000.0,1610.801041054267,0.5,0.2,0.3,1610.801041054267,677.8398018897466,1016.7597280861199,84639.1615131637
25,2,5000.0,1609.7030946412817,0.5,0.3,0.2,1609.7030946412817,1017.0891120231041,678.0593911756158,86334.31001636242
26,1,5000.0,1584.7899427397858,0.5,0.3,0.2,1584.7899427397858,1024.5630578905407,683.0420216301619,88041.91509588312
26,2,5000.0,1360.1041118462908,0.4,0.3,0.3,1360.1041118462908,1091.968809837053,1091.968809837053,90225.85271555722
27,1,5000.0,1615.7901624565586,0.6,0.2,0.2,1615.7901624565586,676.8419775944196,676.8419775944196,91579.53667074606
27,2,5000.0,1624.9084903805347,0.6,0.2,0.2,1624.9084903805347,675.0183119824496,675.0183119824496,92929.57329471096
28,1,5000.0,1361.113529732322,0.4,0.3,0.3,1361.113529732322,1091.6659844592107,1091.6659844592107,95112.90526362939
28,2,5000.0,1626.2744667515676,0.55,0.25,0.2,1626.2744667515676,843.4313833121081,674.7451167041721,96631.08176364568
29,1,5000.0,1399.0168387676297,0.45,0.35,0.2,1399.0168387676297,1260.3440849677975,720.1966429782402,98611.62249159171
29,2,5000.0,1559.0572098822738,0.45,0.35,0.2,1559.0572098822738,1204.3299560315868,688.1885682783538,100504.14101590165
