Month,Period,Income,ExpenseNeed,Spend%,Save%,Invest%,SpendAmt,SaveAmt,InvestAmt,Wealth
1,1,10000.0,13486.83984375,0.4,0.3,0.3,4000.000059604645,3000.0001192092896,3000.0001192092896,5892.380040691579
2,1,10000.0,13805.6982421875,0.55,0.25,0.2,5500.00011920929,2500.0,2000.0000298023224,10724.619860063285
3,1,10000.0,12251.9296875,0.45,0.35,0.2,4499.99988079071,3499.999940395355,2000.0000298023224,16265.2200522468
4,1,10000.0,13219.3251953125,0.5,0.3,0.2,5000.0,3000.0001192092896,2000.0000298023224,21945.419306082527
5,1,10000.0,11136.193359375,0.55,0.25,0.2,5500.00011920929,2500.0,2000.0000298023224,26841.860538887162
6,1,10000.0,14138.15625,0.6,0.2,0.2,6000.000238418579,2000.0000298023224,2000.0000298023224,31483.65397281752
7,1,10000.0,11772.6298828125,0.45,0.35,0.2,4499.99988079071,3499.999940395355,2000.0000298023224,38607.37113104196
8,1,10000.0,13891.91796875,0.4,0.3,0.3,4000.000059604645,3000.0001192092896,3000.0001192092896,44157.847433082046
9,1,10000.0,10219.0185546875,0.45,0.35,0.2,4499.99988079071,3499.999940395355,2000.0000298023224,49035.90691570293
10,1,10000.0,13723.810546875,0.45,0.35,0.2,4499.99988079071,3499.999940395355,2000.0000298023224,56869.92083336189
11,1,10000.0,11852.298828125,0.5,0.2,0.3,5000.0,2000.0000298023224,3000.0001192092896,62480.26417654445
12,1,10000.0,10649.607421875,0.4,0.3,0.3,4000.000059604645,3000.0001192092896,3000.0001192092896,69195.26019488208
