Month,Period,Income,ExpenseNeed,Spend%,Save%,Invest%,SpendAmt,SaveAmt,InvestAmt,Wealth
1,1,25000.0,6743.419921875,0.45,0.35,0.2,11249.999701976776,8749.999850988388,5000.000074505806,13659.497358158442
1,2,25000.0,6902.84912109375,0.6,0.2,0.2,15000.000596046448,5000.000074505806,5000.000074505806,23990.44637004253
2,1,25000.0,6125.96484375,0.55,0.25,0.2,13750.000298023224,6250.0,5000.000074505806,35283.20984565916
2,2,25000.0,6609.66259765625,0.45,0.35,0.2,11249.999701976776,8749.999850988388,5000.000074505806,49764.56279287049
3,1,25000.0,5568.0966796875,0.5,0.3,0.2,12500.0,7500.000298023224,5000.000074505806,62692.7217512036
3,2,25000.0,7069.078125,0.55,0.25,0.2,13750.000298023224,6250.0,5000.000074505806,74638.54807324064
4,1,25000.0,5886.31494140625,0.4,0.3,0.3,10000.000149011612,7500.000298023224,7500.000298023224,91490.1197841526
4,2,25000.0,6945.958984375,0.55,0.25,0.2,13750.000298023224,6250.0,5000.000074505806,102253.98342216514
5,1,25000.0,5109.50927734375,0.5,0.3,0.2,12500.0,7500.000298023224,5000.000074505806,114064.4263174576
5,2,25000.0,6861.9052734375,0.6,0.2,0.2,15000.000596046448,5000.000074505806,5000.000074505806,126635.60138247118
6,1,25000.0,5926.1494140625,0.4,0.3,0.3,10000.000149011612,7500.000298023224,7500.000298023224,142300.24805112806
6,2,25000.0,5324.8037109375,0.6,0.2,0.2,15000.000596046448,5000.000074505806,5000.000074505806,153054.90568129905
